essay01.txt.ptree,0,4,0..6,Should
essay01.txt.ptree,0,7,7..15,students
essay01.txt.ptree,0,10,16..18,be
essay01.txt.ptree,0,13,19..25,taught
essay01.txt.ptree,0,18,26..28,to
essay01.txt.ptree,0,21,29..36,compete
essay01.txt.ptree,0,23,37..39,or
essay01.txt.ptree,0,26,40..42,to
essay01.txt.ptree,0,29,43..52,cooperate
essay01.txt.ptree,0,31,52..53,?
essay01.txt.ptree,1,5,55..57,It
essay01.txt.ptree,1,8,58..60,is
essay01.txt.ptree,1,11,61..67,always
essay01.txt.ptree,1,14,68..72,said
essay01.txt.ptree,1,17,73..77,that
essay01.txt.ptree,1,21,78..89,competition
essay01.txt.ptree,1,24,90..93,can
essay01.txt.ptree,1,27,94..105,effectively
essay01.txt.ptree,1,30,106..113,promote
essay01.txt.ptree,1,34,114..117,the
essay01.txt.ptree,1,36,118..129,development
essay01.txt.ptree,1,39,130..132,of
essay01.txt.ptree,1,42,133..140,economy
essay01.txt.ptree,1,44,140..141,.
essay01.txt.ptree,2,6,142..144,In
essay01.txt.ptree,2,8,145..150,order
essay01.txt.ptree,2,12,151..153,to
essay01.txt.ptree,2,15,154..161,survive
essay01.txt.ptree,2,18,162..164,in
essay01.txt.ptree,2,21,165..168,the
essay01.txt.ptree,2,23,169..180,competition
essay01.txt.ptree,2,25,180..181,COMMA
essay01.txt.ptree,2,28,182..191,companies
essay01.txt.ptree,2,31,192..200,continue
essay01.txt.ptree,2,35,201..203,to
essay01.txt.ptree,2,38,204..211,improve
essay01.txt.ptree,2,41,212..217,their
essay01.txt.ptree,2,43,218..226,products
essay01.txt.ptree,2,45,227..230,and
essay01.txt.ptree,2,47,231..238,service
essay01.txt.ptree,2,49,238..239,COMMA
essay01.txt.ptree,2,51,240..243,and
essay01.txt.ptree,2,55,244..246,as
essay01.txt.ptree,2,58,247..248,a
essay01.txt.ptree,2,60,249..255,result
essay01.txt.ptree,2,62,255..256,COMMA
essay01.txt.ptree,2,65,257..260,the
essay01.txt.ptree,2,67,261..266,whole
essay01.txt.ptree,2,69,267..274,society
essay01.txt.ptree,2,72,275..283,prospers
essay01.txt.ptree,2,74,283..284,.
essay01.txt.ptree,3,5,285..292,However
essay01.txt.ptree,3,7,292..293,COMMA
essay01.txt.ptree,3,12,294..298,when
essay01.txt.ptree,3,16,299..301,we
essay01.txt.ptree,3,19,302..309,discuss
essay01.txt.ptree,3,23,310..313,the
essay01.txt.ptree,3,25,314..319,issue
essay01.txt.ptree,3,28,320..322,of
essay01.txt.ptree,3,32,323..334,competition
essay01.txt.ptree,3,34,335..337,or
essay01.txt.ptree,3,36,338..349,cooperation
essay01.txt.ptree,3,38,349..350,COMMA
essay01.txt.ptree,3,42,351..355,what
essay01.txt.ptree,3,46,356..358,we
essay01.txt.ptree,3,49,359..362,are
essay01.txt.ptree,3,52,363..372,concerned
essay01.txt.ptree,3,54,373..378,about
essay01.txt.ptree,3,57,379..381,is
essay01.txt.ptree,3,59,382..385,not
essay01.txt.ptree,3,62,386..389,the
essay01.txt.ptree,3,64,390..395,whole
essay01.txt.ptree,3,66,396..403,society
essay01.txt.ptree,3,68,403..404,COMMA
essay01.txt.ptree,3,70,405..408,but
essay01.txt.ptree,3,75,409..412,the
essay01.txt.ptree,3,77,413..424,development
essay01.txt.ptree,3,80,425..427,of
essay01.txt.ptree,3,83,428..430,an
essay01.txt.ptree,3,85,431..441,individual
essay01.txt.ptree,3,88,441..443,'s
essay01.txt.ptree,3,91,444..449,whole
essay01.txt.ptree,3,93,450..454,life
essay01.txt.ptree,3,95,454..455,.
essay01.txt.ptree,4,5,456..460,From
essay01.txt.ptree,4,9,461..465,this
essay01.txt.ptree,4,11,466..471,point
essay01.txt.ptree,4,14,472..474,of
essay01.txt.ptree,4,17,475..479,view
essay01.txt.ptree,4,19,479..480,COMMA
essay01.txt.ptree,4,22,481..482,I
essay01.txt.ptree,4,25,483..489,firmly
essay01.txt.ptree,4,28,490..497,believe
essay01.txt.ptree,4,31,498..502,that
essay01.txt.ptree,4,35,503..505,we
essay01.txt.ptree,4,38,506..512,should
essay01.txt.ptree,4,41,513..519,attach
essay01.txt.ptree,4,44,520..524,more
essay01.txt.ptree,4,46,525..535,importance
essay01.txt.ptree,4,49,536..538,to
essay01.txt.ptree,4,52,539..550,cooperation
essay01.txt.ptree,4,55,551..557,during
essay01.txt.ptree,4,58,558..565,primary
essay01.txt.ptree,4,60,566..575,education
essay01.txt.ptree,4,62,575..576,.
essay01.txt.ptree,5,6,577..582,First
essay01.txt.ptree,5,9,583..585,of
essay01.txt.ptree,5,12,586..589,all
essay01.txt.ptree,5,14,589..590,COMMA
essay01.txt.ptree,5,17,591..598,through
essay01.txt.ptree,5,20,599..610,cooperation
essay01.txt.ptree,5,22,610..611,COMMA
essay01.txt.ptree,5,25,612..620,children
essay01.txt.ptree,5,28,621..624,can
essay01.txt.ptree,5,31,625..630,learn
essay01.txt.ptree,5,34,631..636,about
essay01.txt.ptree,5,38,637..650,interpersonal
essay01.txt.ptree,5,40,651..657,skills
essay01.txt.ptree,5,44,658..663,which
essay01.txt.ptree,5,48,664..667,are
essay01.txt.ptree,5,51,668..679,significant
essay01.txt.ptree,5,54,680..682,in
essay01.txt.ptree,5,58,683..686,the
essay01.txt.ptree,5,60,687..693,future
essay01.txt.ptree,5,62,694..698,life
essay01.txt.ptree,5,65,699..701,of
essay01.txt.ptree,5,68,702..705,all
essay01.txt.ptree,5,70,706..714,students
essay01.txt.ptree,5,72,714..715,.
essay01.txt.ptree,6,6,716..720,What
essay01.txt.ptree,6,10,721..723,we
essay01.txt.ptree,6,13,724..732,acquired
essay01.txt.ptree,6,16,733..737,from
essay01.txt.ptree,6,19,738..742,team
essay01.txt.ptree,6,21,743..747,work
essay01.txt.ptree,6,24,748..750,is
essay01.txt.ptree,6,26,751..754,not
essay01.txt.ptree,6,29,755..759,only
essay01.txt.ptree,6,33,760..763,how
essay01.txt.ptree,6,37,764..766,to
essay01.txt.ptree,6,40,767..774,achieve
essay01.txt.ptree,6,43,775..778,the
essay01.txt.ptree,6,45,779..783,same
essay01.txt.ptree,6,47,784..788,goal
essay01.txt.ptree,6,50,789..793,with
essay01.txt.ptree,6,53,794..800,others
essay01.txt.ptree,6,56,801..804,but
essay01.txt.ptree,6,59,805..809,more
essay01.txt.ptree,6,61,810..821,importantly
essay01.txt.ptree,6,63,821..822,COMMA
essay01.txt.ptree,6,67,823..826,how
essay01.txt.ptree,6,71,827..829,to
essay01.txt.ptree,6,74,830..833,get
essay01.txt.ptree,6,77,834..839,along
essay01.txt.ptree,6,80,840..844,with
essay01.txt.ptree,6,83,845..851,others
essay01.txt.ptree,6,85,851..852,.
essay01.txt.ptree,7,5,853..859,During
essay01.txt.ptree,7,9,860..863,the
essay01.txt.ptree,7,11,864..871,process
essay01.txt.ptree,7,14,872..874,of
essay01.txt.ptree,7,17,875..886,cooperation
essay01.txt.ptree,7,19,886..887,COMMA
essay01.txt.ptree,7,22,888..896,children
essay01.txt.ptree,7,25,897..900,can
essay01.txt.ptree,7,28,901..906,learn
essay01.txt.ptree,7,31,907..912,about
